addresses_neighborhood_id,addresses_neighborhood_name,name,created,modified
31,la Vila de Gràcia,Casa F. Homet,2017-02-06T13:51:32,2022-09-17T08:50:40.348248
1,el Raval,El Raval,2015-05-25T15:55:22,2021-09-09T02:14:25.446052
10,Sant Antoni,Sant Antoni,2015-05-25T16:26:47,2021-09-09T02:14:25.919884
11,el Poble-sec,La plaça d'Espanya,2015-05-25T16:57:01,2021-09-09T02:14:27.848127
11,el Poble-sec,El Poble-sec,2015-05-25T17:02:12,2021-09-09T02:14:32.372464
19,les Corts,Les Corts,2015-05-25T17:11:59,2021-09-09T02:14:32.001557
23,Sarrià,Centre Cívic Casa Orlandai,2007-04-05T17:16:51,2024-11-13T09:02:44.759101
7,la Dreta de l'Eixample,La Plaça de Catalunya,2014-10-22T15:21:25,2024-09-10T12:21:21.139845
7,la Dreta de l'Eixample,Casa Llorenç Camprubí,2015-07-07T11:07:02,2022-09-17T08:22:00.607496
7,la Dreta de l'Eixample,Forn Sarret,2015-07-07T11:38:26,2023-01-11T13:28:22.981867
7,la Dreta de l'Eixample,Casa Dolors Calm,2015-07-07T12:07:55,2021-09-09T02:15:07.722085
7,la Dreta de l'Eixample,Casa Juncosa,2015-07-07T12:17:13,2022-09-17T08:22:11.424636
7,la Dreta de l'Eixample,Cases Pascual i Pons,2015-07-07T13:25:03,2022-09-17T08:22:15.015447
60,Sant Andreu,Seu de la Secció 10 de les Patrulles de Control (Guerra Civil),2017-03-28T16:08:10,2021-09-09T02:17:22.839354
20,la Maternitat i Sant Ramon,L'Àrea Olímpica de la Diagonal,2017-02-10T13:24:41,2021-09-09T02:17:08.218128
3,la Barceloneta,La Sardineta. Grup d'Ecoconsum de la Barceloneta,2016-10-04T12:59:47,2022-09-17T08:46:25.552446
62,el Congrés i els Indians,Carrer Cienfuegos,2017-02-13T10:21:48,2021-09-09T02:17:09.717051
62,el Congrés i els Indians,Carrer Pinar del Rio,2017-02-13T11:18:14,2021-09-09T02:17:18.340216
23,Sarrià,El passatge de Mallofré,2015-07-07T15:00:18,2021-09-09T02:15:15.935498
23,Sarrià,La plaça de Sant Vicenç,2015-07-08T08:59:31,2021-09-09T02:15:15.152654
31,la Vila de Gràcia,Plaça de Rovira i Trias,2015-07-08T09:33:41,2021-09-09T02:15:23.199420
31,la Vila de Gràcia,Plaça de la Revolució,2015-07-08T09:51:04,2021-09-09T02:15:19.929600
53,la Trinitat Nova,La Casa de l'Aigua,2015-12-01T13:01:15,2024-05-16T12:19:14.767074
23,Sarrià,Carrer Major de Sarrià,2017-02-08T13:51:50,2021-09-09T02:16:24.672187
25,Sant Gervasi - la Bonanova,Casa Fornells,2017-02-08T14:10:22,2022-09-17T08:51:46.022320
21,Pedralbes,El barri de la Mercè,2017-02-08T15:17:21,2021-09-09T02:16:25.922890
26,Sant Gervasi - Galvany,Edifici Alhambra,2017-02-09T09:23:44,2021-09-09T02:16:25.074693
27,el Putxet i el Farró,El Farró a través del carrer Saragossa,2017-02-09T10:00:49,2021-09-09T02:16:34.156036
23,Sarrià,La plaça de Sarrià,2017-02-09T12:24:53,2023-09-21T12:24:19.722737
22,"Vallvidrera, el Tibidabo i les Planes",La Torre d'Aigües de Josep Amargós,2017-02-09T12:44:59,2021-04-23T09:51:30.760459
22,"Vallvidrera, el Tibidabo i les Planes",Colònia Busquets,2017-02-09T13:33:33,2021-09-09T02:16:44.250067
59,el Bon Pastor,Fàbrica Sanchís,2017-02-09T13:42:47,2021-09-09T02:16:44.334389
23,Sarrià,Torre d'Aigües de Carrasco i Formiguera,2017-02-09T14:10:51,2021-09-09T02:16:46.678407
25,Sant Gervasi - la Bonanova,Torre del Doctor Andreu,2017-02-09T14:17:40,2021-09-09T02:16:47.850332
57,la Trinitat Vella,Centre Penitenciari Obert 2  - Presó de Dones de la Trinitat,2008-12-23T13:02:28,2024-03-08T09:12:00.665847
3,la Barceloneta,Antiga Subcentral Elèctrica de la Barceloneta,2017-01-26T11:50:16,2022-09-17T08:49:49.791813
4,"Sant Pere, Santa Caterina i la Ribera",L'Hortet del Forat,2017-01-26T14:59:34,2021-09-09T02:15:45.058718
4,"Sant Pere, Santa Caterina i la Ribera",El Pla de Palau,2017-01-26T15:36:41,2021-09-09T02:15:46.463178
45,Porta,Masia Can Valent,2017-01-27T09:27:58,2023-01-25T12:45:06.434950
21,Pedralbes,Facultat de Dret - UB,1988-04-11T00:00:00,2024-11-19T17:23:25.103976
71,Provençals del Poblenou,Fàbrica de Creació Hangar,1997-06-09T00:00:00,2024-05-21T13:26:46.810914
11,el Poble-sec,Centre Esportiu Municipal Piscines Bernat Picornell,1992-02-21T00:00:00,2024-09-19T18:15:35.829370
21,Pedralbes,Escola Superior d'Administració i Direcció d'Empreses - URL,1987-10-07T00:00:00,2024-11-19T17:19:00.817824
1,el Raval,Monestir de Sant Pau del Camp,1984-12-07T00:00:00,2023-02-16T14:28:48.953364
26,Sant Gervasi - Galvany,Parròquia de Sant Gregori Taumaturg,1984-05-30T00:00:00,2022-09-17T03:50:51.366815
