Codi_Barri,Nom_Barri,Any,Index_Gini
25,Sant Gervasi - la Bonanova,2018,39.0
25,Sant Gervasi - la Bonanova,2018,36.8
25,Sant Gervasi - la Bonanova,2018,39.4
25,Sant Gervasi - la Bonanova,2018,35.1
25,Sant Gervasi - la Bonanova,2018,37.3
25,Sant Gervasi - la Bonanova,2018,38.3
25,Sant Gervasi - la Bonanova,2018,33.7
25,Sant Gervasi - la Bonanova,2018,35.7
25,Sant Gervasi - la Bonanova,2018,37.8
25,Sant Gervasi - la Bonanova,2018,38.2
25,Sant Gervasi - la Bonanova,2018,40.7
25,Sant Gervasi - la Bonanova,2018,38.6
25,Sant Gervasi - la Bonanova,2018,39.6
26,Sant Gervasi - Galvany,2018,45.6
26,Sant Gervasi - Galvany,2018,37.5
26,Sant Gervasi - Galvany,2018,42.8
26,Sant Gervasi - Galvany,2018,45.6
26,Sant Gervasi - Galvany,2018,45.6
26,Sant Gervasi - Galvany,2018,45.6
26,Sant Gervasi - Galvany,2018,45.6
26,Sant Gervasi - Galvany,2018,43.6
26,Sant Gervasi - Galvany,2018,43.0
26,Sant Gervasi - Galvany,2018,45.6
26,Sant Gervasi - Galvany,2018,45.6
26,Sant Gervasi - Galvany,2018,45.6
26,Sant Gervasi - Galvany,2018,39.3
26,Sant Gervasi - Galvany,2018,45.6
26,Sant Gervasi - Galvany,2018,40.1
26,Sant Gervasi - Galvany,2018,42.9
26,Sant Gervasi - Galvany,2018,37.6
26,Sant Gervasi - Galvany,2018,40.3
26,Sant Gervasi - Galvany,2018,40.7
26,Sant Gervasi - Galvany,2018,40.4
26,Sant Gervasi - Galvany,2018,39.2
26,Sant Gervasi - Galvany,2018,38.1
26,Sant Gervasi - Galvany,2018,38.3
26,Sant Gervasi - Galvany,2018,38.2
28,Vallcarca i els Penitents,2018,33.1
26,Sant Gervasi - Galvany,2018,38.5
26,Sant Gervasi - Galvany,2018,36.4
26,Sant Gervasi - Galvany,2018,38.8
26,Sant Gervasi - Galvany,2018,37.6
26,Sant Gervasi - Galvany,2018,40.2
26,Sant Gervasi - Galvany,2018,37.4
26,Sant Gervasi - Galvany,2018,35.5
27,el Putget i Farró,2018,35.8
27,el Putget i Farró,2018,34.9
27,el Putget i Farró,2018,33.9
27,el Putget i Farró,2018,34.8
27,el Putget i Farró,2018,34.1
27,el Putget i Farró,2018,36.6
27,el Putget i Farró,2018,33.4
27,el Putget i Farró,2018,35.2
27,el Putget i Farró,2018,34.8
27,el Putget i Farró,2018,37.6
27,el Putget i Farró,2018,38.2
27,el Putget i Farró,2018,31.9
27,el Putget i Farró,2018,40.7
27,el Putget i Farró,2018,35.1
27,el Putget i Farró,2018,35.1
27,el Putget i Farró,2018,35.1
27,el Putget i Farró,2018,31.4
27,el Putget i Farró,2018,37.9
27,el Putget i Farró,2018,34.3
28,Vallcarca i els Penitents,2018,35.2
28,Vallcarca i els Penitents,2018,34.0
28,Vallcarca i els Penitents,2018,32.0
28,Vallcarca i els Penitents,2018,36.0
28,Vallcarca i els Penitents,2018,32.7
28,Vallcarca i els Penitents,2018,33.7
28,Vallcarca i els Penitents,2018,37.8
28,Vallcarca i els Penitents,2018,32.6
28,Vallcarca i els Penitents,2018,35.2
28,Vallcarca i els Penitents,2018,35.7
29,el Coll,2018,36.0
29,el Coll,2018,32.1
29,el Coll,2018,35.0
29,el Coll,2018,31.6
29,el Coll,2018,31.9
30,la Salut,2018,34.4
30,la Salut,2018,33.6
30,la Salut,2018,33.6
30,la Salut,2018,33.6
30,la Salut,2018,33.7
30,la Salut,2018,29.7
30,la Salut,2018,32.9
30,la Salut,2018,30.3
30,la Salut,2018,33.2
30,la Salut,2018,33.0
31,Vila de Gràcia,2018,36.2
31,Vila de Gràcia,2018,33.1
31,Vila de Gràcia,2018,31.6
31,Vila de Gràcia,2018,31.2
31,Vila de Gràcia,2018,31.8
31,Vila de Gràcia,2018,31.7
31,Vila de Gràcia,2018,31.1
31,Vila de Gràcia,2018,33.4
31,Vila de Gràcia,2018,35.1
31,Vila de Gràcia,2018,34.6
31,Vila de Gràcia,2018,32.1
31,Vila de Gràcia,2018,35.2
31,Vila de Gràcia,2018,35.2
31,Vila de Gràcia,2018,35.4
31,Vila de Gràcia,2018,37.6
31,Vila de Gràcia,2018,38.5
31,Vila de Gràcia,2018,38.8
31,Vila de Gràcia,2018,36.7
31,Vila de Gràcia,2018,36.1
31,Vila de Gràcia,2018,36.8
31,Vila de Gràcia,2018,36.4
31,Vila de Gràcia,2018,34.2
31,Vila de Gràcia,2018,34.3
31,Vila de Gràcia,2018,35.3
31,Vila de Gràcia,2018,32.3
31,Vila de Gràcia,2018,33.4
31,Vila de Gràcia,2018,35.0
31,Vila de Gràcia,2018,36.2
31,Vila de Gràcia,2018,34.5
31,Vila de Gràcia,2018,35.4
31,Vila de Gràcia,2018,35.6
31,Vila de Gràcia,2018,34.1
31,Vila de Gràcia,2018,32.0
31,Vila de Gràcia,2018,33.4
31,Vila de Gràcia,2018,30.2
31,Vila de Gràcia,2018,33.3
32,el Camp d'en Grassot i Gràcia Nova,2018,34.2
32,el Camp d'en Grassot i Gràcia Nova,2018,30.8
32,el Camp d'en Grassot i Gràcia Nova,2018,31.3
32,el Camp d'en Grassot i Gràcia Nova,2018,33.6
32,el Camp d'en Grassot i Gràcia Nova,2018,36.4
32,el Camp d'en Grassot i Gràcia Nova,2018,34.0
32,el Camp d'en Grassot i Gràcia Nova,2018,34.3
32,el Camp d'en Grassot i Gràcia Nova,2018,32.9
32,el Camp d'en Grassot i Gràcia Nova,2018,32.7
32,el Camp d'en Grassot i Gràcia Nova,2018,32.2
32,el Camp d'en Grassot i Gràcia Nova,2018,33.7
32,el Camp d'en Grassot i Gràcia Nova,2018,30.2
32,el Camp d'en Grassot i Gràcia Nova,2018,32.0
32,el Camp d'en Grassot i Gràcia Nova,2018,34.9
32,el Camp d'en Grassot i Gràcia Nova,2018,35.4
32,el Camp d'en Grassot i Gràcia Nova,2018,31.2
32,el Camp d'en Grassot i Gràcia Nova,2018,29.9
32,el Camp d'en Grassot i Gràcia Nova,2018,32.5
32,el Camp d'en Grassot i Gràcia Nova,2018,29.4
32,el Camp d'en Grassot i Gràcia Nova,2018,34.2
32,el Camp d'en Grassot i Gràcia Nova,2018,30.3
32,el Camp d'en Grassot i Gràcia Nova,2018,30.7
48,la Guineueta,2018,27.9
32,el Camp d'en Grassot i Gràcia Nova,2018,32.4
32,el Camp d'en Grassot i Gràcia Nova,2018,29.6
32,el Camp d'en Grassot i Gràcia Nova,2018,31.8
33,el Baix Guinardó,2018,29.5
33,el Baix Guinardó,2018,32.1
33,el Baix Guinardó,2018,32.0
33,el Baix Guinardó,2018,32.0
33,el Baix Guinardó,2018,30.9
33,el Baix Guinardó,2018,29.3
33,el Baix Guinardó,2018,30.5
33,el Baix Guinardó,2018,29.3
33,el Baix Guinardó,2018,26.8
33,el Baix Guinardó,2018,31.5
33,el Baix Guinardó,2018,35.1
33,el Baix Guinardó,2018,31.5
33,el Baix Guinardó,2018,28.4
33,el Baix Guinardó,2018,32.9
33,el Baix Guinardó,2018,32.8
33,el Baix Guinardó,2018,30.5
33,el Baix Guinardó,2018,32.4
33,el Baix Guinardó,2018,33.6
33,el Baix Guinardó,2018,32.5
34,Can Baró,2018,33.8
34,Can Baró,2018,32.0
34,Can Baró,2018,33.4
34,Can Baró,2018,30.0
34,Can Baró,2018,30.6
34,Can Baró,2018,33.1
34,Can Baró,2018,30.3
35,el Guinardó,2018,33.5
35,el Guinardó,2018,34.6
35,el Guinardó,2018,34.3
35,el Guinardó,2018,33.4
35,el Guinardó,2018,33.8
35,el Guinardó,2018,29.3
35,el Guinardó,2018,29.0
35,el Guinardó,2018,31.5
35,el Guinardó,2018,31.6
35,el Guinardó,2018,30.6
