Espai,Any,Assistents
Centre d'art contemporani Piramidón,2019,235.0
Palau de la Música Catalana,2019,3600.0
Diversos espais de la ciutat,2019,94150.0
Museus de la ciutat,2019,18876.0
21 centres cívics de la ciutat,2019,19603.0
21 centres cívics de la ciutat,2019,17962.0
Diversos espais de la ciutat,2019,1250.0
Diverses galeries de la ciutat,2019,16500.0
Diversos espais de la ciutat,2019,1478.0
Diversos espais de la ciutat,2019,3000.0
Diversos espais de la ciutat,2019,7628.0
Club Natació Barcelona,2019,3100.0
Fira de Barcelona (Montjuïc),2019,18000.0
Diversos espais de la ciutat,2019,67000.0
Museu Olímpic i de l'Esport Joan Antoni Samaranch,2019,2510.0
Diversos espais de la ciutat,2019,7707.0
Diversos espais de la ciutat,2019,11000.0
Fabra i Coats: Fàbrica de Creació,2019,400.0
Diversos espais de la ciutat,2019,145500.0
Casc Antic de Barcelona,2019,1500.0
Centre Cultural la Farinera del Clot,2019,180.0
"Filmoteca de Catalunya, Arts Santa Mònica",2019,2858.0
Biblioteques de Barcelona,2019,253.0
Platja de Sant Sebastià-Barceloneta,2019,19500.0
Diversos espais de la ciutat,2019,1638.0
Ateneu Popular 9 Barris,2019,800.0
Diversos espais de la ciutat,2019,3237.0
Sant Pau Recite Modernista,2019,1814.0
NAU BOSTIK,2019,500.0
Parc del Fòrum,2019,62387.0
Aribau Cinema i CCCB,2019,18083.0
La Pedrera,2019,472.0
Diversos espais de la ciutat,2019,17190.0
Diversos espais de la ciutat,2019,3000.0
Fabra i Coats: Fàbrica de Creació,2019,30500.0
Lluïsos de Gràcia,2019,290.0
Parc del Fòrum,2019,25000.0
CCCB i Cinemes Aribau,2019,19415.0
Poble Espanyol,2019,3000.0
Diversos espais de la ciutat,2019,2700.0
Diversos espais de la ciutat ,2019,12000.0
Jardins Edifici Històric UB,2019,4000.0
Paranimf Edifici Històric UB,2019,2000.0
SAT! sant Andreu Teatre,2019,108.0
Centre Cultural la Farinera del Clot i Parc de les Glòries,2019,590.0
Centre Cívic Pati Llimona,2019,1175.0
Diversos espais de la ciutat,2019,4500.0
Biblioteca de Catalunya,2019,388.0
Disseny Hub Barcelona,2019,321.0
Castell de Montjuïc,2019,150.0
Sala Beckett,2019,486.0
Sala Beckett,2019,122.0
Antic Teatre,2019,70.0
Diversos espais de la ciutat,2019,940.0
SAT! sant Andreu Teatre,2019,796.0
Diversos espais de la ciutat,2019,4000.0
MACBA,2019,1500.0
Diversos espais de la ciutat,2019,2300.0
Diversos espais de la ciutat,2019,4750.0
Sala Barts i Museu Marítim de Barcelona,2019,2000.0
Diversos espais de la ciutat,2019,14200.0
Poble Espanyol,2019,6324.0
Diversos espais de la ciutat,2019,63190.0
Diversos espais de la ciutat,2019,50417.0
L'Auditori,2019,6709.0
CAT Centre Artesà Tradicionàrius,2019,13567.0
CaixaForum Barcelona,2019,2800.0
Església de Santa Maria del Pi i Palau de la Música Catalana,2019,3600.0
