Codi_Barri,Nom_Barri,Any,Superfície (ha)
12,la Marina del Prat Vermell,2018,1403.4
13,la Marina de Port,2018,126.9
14,la Font de la Guatlla,2018,29.7
15,Hostafrancs,2018,41.0
16,la Bordeta,2018,57.2
17,Sants - Badal,2018,41.5
18,Sants,2018,109.5
19,les Corts,2018,141.0
20,la Maternitat i Sant Ramon,2018,191.5
21,Pedralbes,2018,269.1
22,"Vallvidrera, el Tibidabo i les Planes",2018,1132.9
23,Sarrià,2018,304.1
24,les Tres Torres,2018,78.8
25,Sant Gervasi - la Bonanova,2018,223.4
26,Sant Gervasi - Galvany,2018,166.9
27,el Putxet i el Farró,2018,84.8
28,Vallcarca i els Penitents,2018,121.4
29,el Coll,2018,35.3
30,la Salut,2018,64.8
31,la Vila de Gràcia,2018,132.1
32,el Camp d'en Grassot i Gràcia Nova,2018,65.1
33,el Baix Guinardó,2018,56.2
34,Can Baró,2018,38.4
35,el Guinardó,2018,130.9
36,la Font d'en Fargues,2018,65.7
37,el Carmel,2018,94.0
38,la Teixonera,2018,33.8
39,Sant Genís dels Agudells,2018,171.8
40,Montbau,2018,205.5
41,la Vall d'Hebron,2018,74.5
42,la Clota,2018,17.8
43,Horta,2018,307.1
44,Vilapicina i la Torre Llobeta,2018,56.4
45,Porta,2018,83.7
46,el Turó de la Peira,2018,35.4
47,Can Peguera,2018,11.9
48,la Guineueta,2018,61.2
49,Canyelles,2018,79.0
50,les Roquetes,2018,64.3
51,Verdun,2018,23.7
52,la Prosperitat,2018,59.1
53,la Trinitat Nova,2018,57.7
54,Torre Baró,2018,174.2
55,Ciutat Meridiana,2018,37.7
56,Vallbona,2018,60.8
57,la Trinitat Vella,2018,81.0
58,Baró de Viver,2018,23.0
59,el Bon Pastor,2018,186.8
60,Sant Andreu,2018,186.5
61,la Sagrera,2018,98.6
62,el Congrés i els Indians,2018,40.9
63,Navas,2018,42.4
64,el Camp de l'Arpa del Clot,2018,74.1
65,el Clot,2018,69.7
66,el Parc i la Llacuna del Poblenou,2018,112.2
67,la Vila Olímpica del Poblenou,2018,92.5
68,el Poblenou,2018,156.7
69,Diagonal Mar i el Front Marítim del Poblenou,2018,120.3
70,el Besòs i el Maresme,2018,118.6
71,Provençals del Poblenou,2018,108.6
72,Sant Martí de Provençals,2018,73.4
73,la Verneda i la Pau,2018,112.7
1,el Raval,2017,109.8
2,el Barri Gòtic,2017,84.2
3,la Barceloneta,2017,131.4
4,"Sant Pere, Santa Caterina i la Ribera",2017,111.4
5,el Fort Pienc,2017,92.9
6,la Sagrada Família,2017,105.1
7,la Dreta de l'Eixample,2017,212.3
8,l'Antiga Esquerra de l'Eixample,2017,123.4
9,la Nova Esquerra de l'Eixample,2017,133.8
10,Sant Antoni,2017,80.1
11,el Poble Sec,2017,460.5
12,la Marina del Prat Vermell,2017,1428.4
13,la Marina de Port,2017,125.5
14,la Font de la Guatlla,2017,30.2
15,Hostafrancs,2017,41.0
16,la Bordeta,2017,57.7
17,Sants - Badal,2017,41.1
18,Sants,2017,109.8
19,les Corts,2017,141.3
20,la Maternitat i Sant Ramon,2017,190.3
21,Pedralbes,2017,270.2
22,"Vallvidrera, el Tibidabo i les Planes",2017,1152.2
23,Sarrià,2017,304.2
24,les Tres Torres,2017,78.8
25,Sant Gervasi - la Bonanova,2017,223.5
26,Sant Gervasi - Galvany,2017,165.9
27,el Putxet i el Farró,2017,84.6
28,Vallcarca i els Penitents,2017,120.9
29,el Coll,2017,35.8
30,la Salut,2017,64.3
31,la Vila de Gràcia,2017,132.6
32,el Camp d'en Grassot i Gràcia Nova,2017,65.0
33,el Baix Guinardó,2017,56.0
34,Can Baró,2017,38.4
35,el Guinardó,2017,130.8
36,la Font d'en Fargues,2017,65.7
37,el Carmel,2017,94.2
38,la Teixonera,2017,33.7
39,Sant Genís dels Agudells,2017,171.6
40,Montbau,2017,204.7
41,la Vall d'Hebron,2017,73.6
42,la Clota,2017,17.8
43,Horta,2017,308.2
44,Vilapicina i la Torre Llobeta,2017,56.7
45,Porta,2017,84.1
46,el Turó de la Peira,2017,35.4
47,Can Peguera,2017,12.0
48,la Guineueta,2017,61.1
49,Canyelles,2017,79.3
50,les Roquetes,2017,64.2
51,Verdun,2017,23.7
52,la Prosperitat,2017,59.5
53,la Trinitat Nova,2017,56.0
54,Torre Baró,2017,176.8
55,Ciutat Meridiana,2017,35.5
56,Vallbona,2017,59.8
57,la Trinitat Vella,2017,81.0
58,Baró de Viver,2017,23.0
59,el Bon Pastor,2017,188.2
60,Sant Andreu,2017,184.1
61,la Sagrera,2017,97.2
62,el Congrés i els Indians,2017,40.7
63,Navas,2017,42.3
64,el Camp de l'Arpa del Clot,2017,74.2
65,el Clot,2017,69.6
66,el Parc i la Llacuna del Poblenou,2017,111.4
67,la Vila Olímpica del Poblenou,2017,94.3
68,el Poblenou,2017,154.5
69,Diagonal Mar i el Front Marítim del Poblenou,2017,123.7
70,el Besòs i el Maresme,2017,127.4
71,Provençals del Poblenou,2017,110.5
72,Sant Martí de Provençals,2017,74.5
73,la Verneda i la Pau,2017,112.3
1,el Raval,2016,109.8
2,el Barri Gòtic,2016,84.2
3,la Barceloneta,2016,131.4
4,"Sant Pere, Santa Caterina i la Ribera",2016,111.4
5,el Fort Pienc,2016,92.9
6,la Sagrada Família,2016,105.1
7,la Dreta de l'Eixample,2016,212.3
8,l'Antiga Esquerra de l'Eixample,2016,123.4
9,la Nova Esquerra de l'Eixample,2016,133.8
10,Sant Antoni,2016,80.1
11,el Poble Sec,2016,460.5
12,la Marina del Prat Vermell,2016,1428.4
13,la Marina de Port,2016,125.5
14,la Font de la Guatlla,2016,30.2
15,Hostafrancs,2016,41.0
16,la Bordeta,2016,57.7
17,Sants - Badal,2016,41.1
18,Sants,2016,109.8
19,les Corts,2016,141.3
20,la Maternitat i Sant Ramon,2016,190.3
21,Pedralbes,2016,270.2
22,"Vallvidrera, el Tibidabo i les Planes",2016,1152.2
23,Sarrià,2016,304.2
24,les Tres Torres,2016,78.8
25,Sant Gervasi - la Bonanova,2016,223.5
26,Sant Gervasi - Galvany,2016,165.9
27,el Putxet i el Farró,2016,84.6
28,Vallcarca i els Penitents,2016,120.9
29,el Coll,2016,35.8
30,la Salut,2016,64.3
31,la Vila de Gràcia,2016,132.6
32,el Camp d'en Grassot i Gràcia Nova,2016,65.0
33,el Baix Guinardó,2016,56.0
34,Can Baró,2016,38.4
35,el Guinardó,2016,130.8
36,la Font d'en Fargues,2016,65.7
37,el Carmel,2016,94.2
38,la Teixonera,2016,33.7
39,Sant Genís dels Agudells,2016,171.6
40,Montbau,2016,204.7
41,la Vall d'Hebron,2016,73.6
42,la Clota,2016,17.8
43,Horta,2016,308.2
