Assistents_fora_de_Barcelona,Edicio,Titularitat,DataInici,DataFi,Assistents_a_Barcelona,Notes_Dades,Espai,Ambit,NomDelFestival,Organitzador,_id,Any,Tipus,Assistents,Nota
,18,Altres administracions públiques,2023-11-07T00:00:00,2023-07-20T00:00:00,1151,A partir de juliol de 2024 passarà a anomenar-se Vespres d'Estiu.,Finca Pedro Pons de la Universitat de Barcelona,Música,Els vespres a la UB,Universitat de Barcelona,96,2023,Festivals,,
,10,Titularitat privada,2023-12-07T00:00:00,2023-07-27T00:00:00,,,Diversos espais de la ciutat,Música,Bachcelona,Fund. Bachcelona,97,2023,Festivals,,
,1,Titularitat privada,2023-07-13T00:00:00,2023-07-15T00:00:00,500,,Diversos espais de la ciutat,Música,BONE x IKLECTIK Festival,"IKLECTIK, The Good Good i Empty 6 Pack",98,2023,Festivals,,
,15,Titularitat privada,2023-07-14T00:00:00,2023-09-15T00:00:00,,,Museu Can Framis,Audiovisuals,Mecal Air,Assoc.  Mecal,99,2023,Festivals,,
,15,Ajuntament de Barcelona,2023-07-21T00:00:00,2023-07-21T00:00:00,220,,Barri de la Guineueta,Música,Guineueta Lliure i Tropical,Casal de Joves Guineueta,100,2023,Festivals,,
,5,Titularitat privada,2023-07-22T00:00:00,2023-07-23T00:00:00,60000,,Parc del Fòrum,Música,Reggaeton Beach Festival (RBF),DQG BENIDORM AIE,101,2023,Festivals,,
,20,Titularitat privada,2023-07-27T00:00:00,2023-02-09T00:00:00,,,Diversos espais de la ciutat,Música,Mas i Mas Festival,PELAIMAS,102,2023,Festivals,,
,24,Titularitat privada,2023-07-29T00:00:00,2023-07-10T00:00:00,61000,,Diversos espais de la ciutat,Música,Festival del Mil·lenni,Concert Studio,103,2023,Festivals,,
,10,Titularitat privada,2023-02-08T00:00:00,2023-08-30T00:00:00,,,Poble Espanyol,Música,Nits de Blues,Poble Espanyol de Montjuïc,104,2023,Festivals,,
,7,Titularitat privada,2023-03-08T00:00:00,2023-08-31T00:00:00,,,Poble Espanyol,Música,Mahou Rock&Grill,Poble Espanyol de Montjuïc,105,2023,Festivals,,
,3,Titularitat privada,2023-06-08T00:00:00,2023-03-09T00:00:00,,,Poble Espanyol,Música,Vespres de rumba,Poble Espanyol de Montjuïc,106,2023,Festivals,,
,10,Titularitat privada,2023-11-08T00:00:00,2023-08-13T00:00:00,,,Diversos espais de la ciutat,Multidisciplinaris i altres,Brunch-in the City,Centris Events,107,2023,Festivals,,
,14,Titularitat privada,2023-08-18T00:00:00,2023-08-19T00:00:00,2500,,Jardins de la Sedeta,Música,Festigàbal,Heliogàbal,108,2023,Festivals,,
242,10,Titularitat privada,2023-01-09T00:00:00,2023-03-09T00:00:00,3370,,Districte de Sant Andreu,Música,Jazzing Festival,Assoc. Sant Andreu Jazz Band,109,2023,Festivals,,
,,Titularitat privada,2023-02-09T00:00:00,2023-10-09T00:00:00,,,Barri del Besòs i el Maresme,Arts escèniques,Festival Sant Martí de Circ,Pla de Barris. Ajuntament de Barcelona,110,2023,Festivals,,
,10,Titularitat privada,2023-07-09T00:00:00,2023-11-30T00:00:00,7365,,Diversos espais de la ciutat,Arts visuals,Art Photo BCN,Maria Isabel Lazaro Garcia,111,2023,Festivals,,
,72,Titularitat privada,2023-08-09T00:00:00,2023-09-25T00:00:00,,,Passeig de Gràcia,Lletres,Fira del Llibre d'Ocasió Antic i Modern,Gremi de Llibreters de Vell de Catalunya,112,2023,Fires,,
,41,Titularitat privada,2023-08-09T00:00:00,2023-09-17T00:00:00,64000,,Moll de la Fusta de Barcelona,Lletres,Setmana del Llibre en Català,Assoc. d'Editors en Llengua Catalana,113,2023,Fires,,
2200,33,Titularitat privada,2023-09-09T00:00:00,2023-01-10T00:00:00,2800,,Barri de Gràcia,Música,Festival l'Hora del Jazz. Memorial Tete Montoliu,Assoc. de Músics de Jazz i Música Moderna de Catalunya (AMJM),114,2023,Festivals,,
