Latitud,Codi_Districte,Data_Instalacio,Font,Id_Instal,Nom_Districte,Codi_Carrer,Nom_Barri,ETRS89_Y,Data_DesInstalacio,Nom_Carrer,Num_Carrer,Codi_Barri,ETRS89_X,_id,Longitud,Tipus_Via
41.399835,5,2016-08-18T00:00:00,TRÀNSIT,1290,Sarrià-Sant Gervasi,106103,Sarrià,4583516.189,2017-06-02T00:00:00,Sarrià,9,23,426594.883,121,2.121861,Pl
41.396055,5,2016-08-18T00:00:00,TRÀNSIT,1291,Sarrià-Sant Gervasi,37350,Sarrià,4583098.117,2017-11-15T00:00:00,J. V. Foix,66,23,426428.061,122,2.119916,Av
41.459870,8,2016-08-23T00:00:00,TRÀNSIT,1306,Nou Barris,111908,Torre Baró,4590132.523,2016-09-20T00:00:00,Escolapi Càncer,3,54,431628.622,123,2.181325,Av
41.405017,10,2016-07-13T00:00:00,TRÀNSIT,1326,Sant Martí,701278,Diagonal Mar i el Front Marítim del Poblenou,4584018.225,2018-06-18T00:00:00,Taulat,263,69,434214.228,124,2.212947,Pg
41.398428,10,2016-09-20T00:00:00,SUPERILLA,1346,Sant Martí,249304,el Poblenou,4583301.159,2016-10-11T00:00:00,Pere IV,100,68,432645.836,125,2.194265,C
41.400734,10,2016-09-20T00:00:00,SUPERILLA,1347,Sant Martí,11200,el Parc i la Llacuna del Poblenou,4583556.392,2017-03-21T00:00:00,Almogàvers,188,66,432725.748,126,2.195192,C
41.402437,10,2016-09-20T00:00:00,TRÀNSIT,1348,Sant Martí,311703,el Parc i la Llacuna del Poblenou,4583745.789,2022-04-10T00:00:00,Sancho de Ávila,133,66,432691.389,127,2.194760,C
41.404116,10,2016-09-20T00:00:00,SUPERILLA,1349,Sant Martí,183603,el Poblenou,4583931.925,2016-12-20T00:00:00,Llacuna,122,68,432728.307,128,2.195181,C
41.398930,5,2016-10-21T00:00:00,TRÀNSIT,1386,Sarrià-Sant Gervasi,32700,Galvany,4583391.477,2016-10-11T00:00:00,Balmes,232,26,429021.324,129,2.150900,C
41.396109,5,2016-10-21T00:00:00,TRÀNSIT,1387,Sarrià-Sant Gervasi,32700,Galvany,4583075.952,2022-08-06T00:00:00,Balmes,173,26,429261.336,130,2.153807,C
41.375392,2,2016-10-21T00:00:00,TRÀNSIT,1388,L'Eixample,192502,Sant Antoni,4580771.979,,Manso,1,10,429646.454,131,2.158681,C
41.375415,2,2016-10-21T00:00:00,TRÀNSIT,1389,L'Eixample,329902,Sant Antoni,4580776.359,,Tamarit,89,10,429457.687,132,2.156424,C
41.384638,2,2016-11-11T00:00:00,OBRES,1566,L'Eixample,191204,la Nova Esquerra de l'Eixample,4581805.351,2016-11-28T00:00:00,Mallorca,75,9,428952.731,133,2.150265,C
41.376198,3,2016-11-17T00:00:00,OCI,1586,Sants-Montjuïc,158901,Sants,4580878.000,2016-12-20T00:00:00,Osca,2,18,427962.000,134,2.138527,Pl
41.384638,2,2016-11-28T00:00:00,OBRES,1606,L'Eixample,191204,la Nova Esquerra de l'Eixample,4581805.351,2017-06-28T00:00:00,Mallorca,75,9,428952.731,135,2.150265,C
41.398930,5,2016-11-11T00:00:00,TRÀNSIT,1627,Sarrià-Sant Gervasi,32700,Galvany,4583391.477,,Balmes,232,26,429021.324,136,2.150900,C
41.400560,10,2016-12-19T00:00:00,TRÀNSIT,1686,Sant Martí,270901,el Poblenou,4583533.771,2022-05-10T00:00:00,Pujades,166,68,433081.352,137,2.199448,C
41.376198,3,2016-12-20T00:00:00,OCI,1726,Sants-Montjuïc,158901,Sants,4580878.000,2017-05-26T00:00:00,Osca,2,18,427962.000,138,2.138527,Pl
41.384941,1,2016-12-29T00:00:00,OCI,1746,Ciutat Vella,325107,la Barceloneta,4581802.828,2017-08-11T00:00:00,Trelawny,2,3,432741.722,139,2.195578,C
41.406216,6,2017-01-19T00:00:00,TRÀNSIT,1866,Gràcia,208001,la Vila de Gràcia,4584198.701,2017-02-26T00:00:00,Torrent de l'Olla,218,31,429192.067,140,2.152848,C
